country;company;employees;revenue;headquarters;founded;marketcap
"United States";Amazon;647500;232.9;Seattle;1994;972.34
"United States";Google;98771;120.8004615;"Mountain View, CA";1998;791.01
China;JD.com;178000;67.2;Beijing;1998;41.99
China;Alibaba;66421;56.152;Hangzhou;1999;432.12
"United States";Facebook;25105;55.01;"Menlo Park, CA";2004;575.43
China;Tencent;44796;44.67;Shenzhen;1998;434.66
"United States";Netflix;5400;15.8;"Los Gatos, CA";1997;140.45
"United States";Booking;22900;12.7;"Norwalk, CT";1996;92.94
China;Baidu;45887;12.40;Beijing;2000;88.11
"United States";eBay;14000;10.75;"San Jose";1995;34.45
"United States";Salesforce.com;29000;10.5;"San Francisco";1999;120.66
"United States";Expedia;20000;10.1;"Bellevue, WA";1996;16.17
"United States";"Bloomberg L.P.";19000;9.60;"New York City";1981;
"United States";Uber;12000;7.5;"San Francisco";2009;74.23
India;Jio;14000;6.5;Mumbai;2009;
Japan;Rakuten;14826;6.3;Tokyo;1997;12.28
Germany;Zalando;14000;5.55;Berlin;2008;13.5
China;Meituan-Dianping;19000;5.4;Beijing;2010;30
"South Korea";Naver;2793;3.65;Seongnam;1999;21.44
China;NetEase;15948;3.63;Guangzhou;1997;38.796
"United States";Groupon;10000;3.143;Chicago;2008;2.437
Sweden;Spotify;3000;3.1;Stockholm;2006;33.38
India;Flipkart;30000;3.0;Bangalore;2007;40
"United States";ServiceNow;6000;2.60;"Santa Clara";2004;43.54
"United States";Twitter;3372;2.44;"San Francisco";2006;24.028
Brazil;B2W;2376;2.10;"Rio de Janeiro";2006;3.30
"United States";Airbnb;3100;1.7;"San Francisco";2008;
Russia;Yandex;7445;1.61;Moscow;2000;10.592
"United States";Workday;6900;1.56;"Pleasanton, CA";2005;26.976
"United States";TripAdvisor;3008;1.5;"Needham, MA";2000;5.618
"United Kingdom";ASOS.com;7500;1.40;London;2000;8.56
Russia;Mail.Ru;3000;1.10;Moscow;1998;12.51
Spain;"eDreams ODIGEO";1700;0.5;Barcelona;2011;0.707
